"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年12月25日","13,623.00","13,517.00","14,278.00","12,678.00","45.61K","1.09%"
"2017年12月24日","13,476.00","14,036.00","14,047.00","11,601.18","72.38K","-3.98%"
"2017年12月23日","14,035.00","13,173.00","14,986.00","12,755.00","59.92K","6.57%"
"2017年12月22日","13,170.00","15,650.00","15,826.00","10,718.00","179.00K","-15.94%"
"2017年12月21日","15,666.83","16,433.00","17,333.00","14,827.00","65.58K","-4.62%"
"2017年12月20日","16,425.00","17,340.00","17,709.00","15,500.00","82.16K","-5.30%"
"2017年12月19日","17,345.00","18,931.00","18,987.00","16,500.00","66.65K","-8.39%"
"2017年12月18日","18,934.00","18,959.00","19,171.00","18,010.00","53.58K","-0.20%"
"2017年12月17日","18,971.00","19,210.00","19,891.00","18,622.00","51.80K","-1.13%"
"2017年12月16日","19,187.00","17,569.55","19,548.00","17,098.00","48.27K","9.50%"
"2017年12月15日","17,522.00","16,396.00","18,098.00","16,352.00","63.11K","6.95%"
"2017年12月14日","16,383.00","16,122.00","16,999.00","15,870.00","45.72K","1.25%"
"2017年12月13日","16,181.00","17,010.00","17,288.00","15,674.00","62.88K","-4.63%"
"2017年12月12日","16,967.00","16,754.00","17,500.00","16,234.00","52.09K","1.27%"
"2017年12月11日","16,754.00","14,937.00","17,443.00","14,937.00","78.09K","11.72%"
"2017年12月10日","14,997.00","14,660.00","15,728.00","12,748.00","107.05K","2.30%"
"2017年12月9日","14,660.00","15,829.00","16,300.00","13,021.00","77.82K","-7.62%"
"2017年12月8日","15,869.00","16,608.00","17,160.00","13,774.00","124.11K","-4.41%"
"2017年12月7日","16,601.00","13,500.00","16,639.00","13,154.00","141.26K","22.72%"
"2017年12月6日","13,527.00","11,590.00","13,598.00","11,590.00","83.59K","16.66%"
"2017年12月5日","11,595.00","11,611.00","11,949.00","11,414.00","48.94K","0.00%"
"2017年12月4日","11,595.00","11,162.00","11,598.00","10,788.00","63.74K","3.93%"
"2017年12月3日","11,157.00","10,880.00","11,842.00","10,299.00","93.06K","2.54%"
"2017年12月2日","10,881.00","10,852.00","11,187.00","10,627.00","49.71K","0.11%"
"2017年12月1日","10,869.00","9,907.00","10,949.00","9,370.10","84.14K","9.71%"
"2017年11月30日","9,907.00","9,771.90","10,540.00","8,821.00","129.07K","1.62%"
"2017年11月29日","9,749.40","9,891.90","11,427.17","9,001.10","182.74K","-1.50%"
"2017年11月28日","9,898.00","9,727.10","9,977.77","9,608.30","47.11K","1.74%"
"2017年11月27日","9,728.80","9,303.90","9,760.70","9,268.90","66.66K","4.43%"
"2017年11月26日","9,316.00","8,791.00","9,495.00","8,769.20","67.57K","6.27%"
"2017年11月25日","8,766.20","8,191.60","8,770.00","8,132.90","44.25K","7.01%"
"2017年11月24日","8,191.60","7,977.00","8,350.70","7,873.00","42.85K","2.69%"
"2017年11月23日","7,977.10","8,230.00","8,267.60","7,977.10","32.10K","-3.07%"
"2017年11月22日","8,230.10","8,097.30","8,310.00","8,064.30","28.86K","1.64%"
"2017年11月21日","8,097.30","8,245.10","8,380.00","7,790.00","71.85K","-1.79%"
"2017年11月20日","8,245.10","8,052.80","8,310.20","7,943.40","38.28K","2.37%"
"2017年11月19日","8,054.20","7,770.60","8,126.90","7,652.00","39.13K","3.61%"
"2017年11月18日","7,773.30","7,674.10","7,867.00","7,419.50","40.70K","1.24%"
"2017年11月17日","7,677.90","7,865.00","8,029.80","7,511.10","75.95K","-2.37%"
"2017年11月16日","7,864.20","7,273.70","8,012.90","7,099.90","85.88K","8.05%"
"2017年11月15日","7,278.30","6,589.90","7,310.20","6,589.90","71.61K","10.63%"
"2017年11月14日","6,579.20","6,476.50","6,687.80","6,315.40","49.52K","1.62%"
"2017年11月13日","6,474.60","5,806.50","6,680.00","5,786.10","110.44K","11.21%"
"2017年11月12日","5,822.10","6,282.40","6,465.00","5,426.00","172.69K","-7.60%"
"2017年11月11日","6,300.70","6,541.20","6,788.00","6,166.00","72.84K","-3.69%"
"2017年11月10日","6,542.20","7,123.30","7,313.10","6,405.20","88.43K","-8.20%"
"2017年11月9日","7,126.20","7,447.00","7,447.00","7,017.60","50.14K","-4.25%"
"2017年11月8日","7,442.40","7,102.00","7,895.00","7,029.90","97.30K","4.77%"
"2017年11月7日","7,103.30","6,959.60","7,214.40","6,959.00","37.54K","2.13%"
"2017年11月6日","6,955.00","7,355.10","7,429.50","6,915.10","63.27K","-5.78%"
"2017年11月5日","7,382.00","7,370.90","7,595.00","7,272.00","46.29K","0.18%"
"2017年11月4日","7,369.00","7,104.00","7,521.10","6,936.50","48.62K","1.24%"
"2017年11月3日","7,278.40","7,018.90","7,447.50","6,926.50","64.15K","3.68%"
"2017年11月2日","7,019.90","6,735.00","7,315.10","6,724.50","97.45K","4.35%"
"2017年11月1日","6,727.30","6,450.20","6,727.30","6,348.00","57.13K","4.17%"
"2017年10月31日","6,458.30","6,129.90","6,472.10","6,082.70","38.76K","5.44%"
"2017年10月30日","6,125.30","6,146.00","6,237.20","6,010.00","33.26K","-0.50%"
"2017年10月29日","6,156.00","5,718.10","6,330.00","5,662.90","61.92K","7.61%"
"2017年10月28日","5,720.60","5,759.80","5,863.90","5,634.70","26.66K","-0.68%"
"2017年10月27日","5,759.60","5,890.00","6,010.20","5,681.20","39.71K","-2.21%"
"2017年10月26日","5,890.00","5,724.20","5,966.60","5,680.50","42.72K","2.97%"
"2017年10月25日","5,720.00","5,509.90","5,743.90","5,367.90","44.80K","3.82%"
"2017年10月24日","5,509.50","5,902.50","5,902.50","5,457.50","64.03K","-6.73%"
"2017年10月23日","5,906.90","5,980.50","6,051.00","5,639.80","67.06K","-1.23%"
"2017年10月22日","5,980.50","6,005.10","6,069.60","5,717.90","50.58K","-0.41%"
"2017年10月21日","6,005.10","5,984.90","6,190.00","5,873.60","53.52K","0.34%"
"2017年10月20日","5,984.50","5,694.00","6,082.20","5,606.40","61.78K","5.10%"
"2017年10月19日","5,694.00","5,574.80","5,741.00","5,505.80","38.04K","2.32%"
"2017年10月18日","5,565.00","5,597.70","5,597.90","5,114.30","69.04K","-0.57%"
"2017年10月17日","5,597.10","5,764.80","5,779.00","5,511.00","31.91K","-2.90%"
